instance_id,block_size,tie_repetition,order,hidden_rows,guided_policy,baseline,guided_nodes,baseline_nodes,node_ratio_guided_over_baseline,node_reduction_fraction,guided_seconds,baseline_seconds,time_ratio_guided_over_baseline,time_reduction_fraction
d12-c0-h10-s21470815,8,0,12,10,all_pair_product,lexicographic,39766,73,544.7397260273973,-543.7397260273973,25.035566599923186,0.06024640006944537,415.5529055854783,-414.5529055854783
d12-c0-h10-s21470815,8,0,12,10,all_pair_lexicographic,lexicographic,344,73,4.712328767123288,-3.712328767123288,0.3948953999206424,0.06024640006944537,6.554672137512793,-5.554672137512793
d12-c0-h10-s21470815,8,1,12,10,all_pair_lexicographic,lexicographic,344,73,4.712328767123288,-3.712328767123288,0.4696516999974847,0.07252550008706748,6.475676823098962,-5.475676823098962
d12-c0-h10-s21470815,8,2,12,10,all_pair_lexicographic,lexicographic,344,73,4.712328767123288,-3.712328767123288,0.35277029999997467,0.05180299992207438,6.809843069525624,-5.809843069525624
d12-c0-h10-s21470816,8,0,12,10,all_pair_lexicographic,lexicographic,1971,71,27.760563380281692,-26.760563380281692,1.321765200002119,0.04841920000035316,27.29836924179826,-26.29836924179826
d12-c0-h10-s21470816,8,1,12,10,all_pair_lexicographic,lexicographic,1971,71,27.760563380281692,-26.760563380281692,1.5361435000086203,0.05352200008928776,28.701160222823475,-27.701160222823475
d12-c0-h10-s21470816,8,2,12,10,all_pair_lexicographic,lexicographic,1971,71,27.760563380281692,-26.760563380281692,1.5495987000176683,0.05978120001964271,25.921170861550223,-24.921170861550223
d12-c0-h10-s21470817,8,0,12,10,all_pair_lexicographic,lexicographic,1405,185,7.594594594594595,-6.594594594594595,1.027145699947141,0.07077510003000498,14.512811702303274,-13.512811702303274
d12-c0-h10-s21470817,8,1,12,10,all_pair_lexicographic,lexicographic,1405,185,7.594594594594595,-6.594594594594595,1.1169272999977693,0.06884379999246448,16.224079730055955,-15.224079730055955
d12-c0-h10-s21470817,8,2,12,10,all_pair_lexicographic,lexicographic,1405,185,7.594594594594595,-6.594594594594595,1.2524478000123054,0.08233610005117953,15.211405437393717,-14.211405437393717
d12-c0-h10-s21470818,8,0,12,10,all_pair_lexicographic,lexicographic,1385,75,18.466666666666665,-17.466666666666665,1.3250538000138476,0.07185639999806881,18.440303160880024,-17.440303160880024
d12-c0-h10-s21470818,8,1,12,10,all_pair_product,lexicographic,23056,75,307.41333333333336,-306.41333333333336,16.42715899995528,0.06403070001397282,256.5512948690322,-255.55129486903218
d12-c0-h10-s21470818,8,1,12,10,all_pair_lexicographic,lexicographic,1385,75,18.466666666666665,-17.466666666666665,1.1469973999774083,0.06403070001397282,17.913241612650022,-16.913241612650022
d12-c0-h10-s21470818,8,2,12,10,all_pair_lexicographic,lexicographic,1385,75,18.466666666666665,-17.466666666666665,1.0830420999554917,0.06043950002640486,17.91944174724032,-16.91944174724032
d12-c0-h10-s21470819,8,0,12,10,all_pair_lexicographic,lexicographic,88,74,1.1891891891891893,-0.18918918918918926,0.11909619998186827,0.07595850003417581,1.56791142437362,-0.5679114243736201
d12-c0-h10-s21470819,8,0,12,10,all_pair_lexicographic,balance_only,88,284,0.30985915492957744,0.6901408450704225,0.11909619998186827,0.2607109999516979,0.4568130995774375,0.5431869004225625
d12-c0-h10-s21470819,8,1,12,10,all_pair_lexicographic,lexicographic,88,74,1.1891891891891893,-0.18918918918918926,0.11684120004065335,0.06312140007503331,1.8510552665460929,-0.8510552665460929
d12-c0-h10-s21470819,8,2,12,10,all_pair_product,lexicographic,2059,74,27.824324324324323,-26.824324324324323,1.5922221000073478,0.058362300042063,27.281688673335324,-26.281688673335324
d12-c0-h10-s21470819,8,2,12,10,all_pair_product,random_order,2059,25033,0.08225142811488835,0.9177485718851116,1.5922221000073478,17.432217100053094,0.09133789987060786,0.9086621001293922
d12-c0-h10-s21470819,8,2,12,10,all_pair_product,balance_only,2059,1896,1.0859704641350212,-0.08597046413502119,1.5922221000073478,1.53265199996531,1.0388673358618825,-0.03886733586188251
d12-c0-h10-s21470819,8,2,12,10,all_pair_product,minimum_max_pressure,2059,2509,0.8206456755679553,0.1793543244320447,1.5922221000073478,1.9404259000439197,0.82055290025314,0.17944709974686002
d12-c0-h10-s21470819,8,2,12,10,all_pair_lexicographic,lexicographic,88,74,1.1891891891891893,-0.18918918918918926,0.12074009992647916,0.058362300042063,2.068802974513669,-1.0688029745136691
d12-c0-h10-s21470819,8,2,12,10,all_pair_lexicographic,random_order,88,25033,0.0035153597251627853,0.9964846402748372,0.12074009992647916,17.432217100053094,0.006926261830809313,0.9930737381691906
d12-c0-h10-s21470819,8,2,12,10,all_pair_lexicographic,balance_only,88,1896,0.046413502109704644,0.9535864978902954,0.12074009992647916,1.53265199996531,0.07877854850886697,0.921221451491133
d12-c0-h10-s21470819,8,2,12,10,all_pair_lexicographic,minimum_max_pressure,88,2509,0.03507373455559984,0.9649262654444002,0.12074009992647916,1.9404259000439197,0.06222350460470886,0.9377764953952912
