instance_id,block_size,tie_repetition,order,hidden_rows,guided_policy,baseline,guided_nodes,baseline_nodes,node_ratio_guided_over_baseline,node_reduction_fraction,guided_seconds,baseline_seconds,time_ratio_guided_over_baseline,time_reduction_fraction
d16-c0-h4-s21864815,8,0,16,4,all_pair_product,lexicographic,108,228,0.47368421052631576,0.5263157894736843,0.5699725999729708,0.9458011999959126,0.6026346762675222,0.3973653237324778
d16-c0-h4-s21864815,8,0,16,4,all_pair_lexicographic,lexicographic,8,228,0.03508771929824561,0.9649122807017544,0.08213570003863424,0.9458011999959126,0.08684245699729415,0.9131575430027059
d16-c0-h4-s21864815,8,1,16,4,all_pair_product,lexicographic,64,228,0.2807017543859649,0.7192982456140351,0.36825319996569306,0.9401906999992207,0.391679262479408,0.608320737520592
d16-c0-h4-s21864815,8,1,16,4,all_pair_lexicographic,lexicographic,8,228,0.03508771929824561,0.9649122807017544,0.07644870004151016,0.9401906999992207,0.08131190836239237,0.9186880916376077
d16-c0-h4-s21864815,8,2,16,4,all_pair_product,lexicographic,31,228,0.13596491228070176,0.8640350877192983,0.18771379999816418,0.8004369999980554,0.23451414664567008,0.76548585335433
d16-c0-h4-s21864815,8,2,16,4,all_pair_lexicographic,lexicographic,8,228,0.03508771929824561,0.9649122807017544,0.08868059993255883,0.8004369999980554,0.11079023075241934,0.8892097692475807
d16-c0-h4-s21864820,8,0,16,4,all_pair_product,lexicographic,310,245,1.2653061224489797,-0.26530612244897966,1.1769366998923942,0.9247109999414533,1.2727616519830631,-0.2727616519830631
d16-c0-h4-s21864820,8,0,16,4,all_pair_lexicographic,lexicographic,128,245,0.5224489795918368,0.4775510204081632,0.5289288000203669,0.9247109999414533,0.5719936283377782,0.4280063716622218
d16-c0-h4-s21864820,8,1,16,4,all_pair_product,lexicographic,128,245,0.5224489795918368,0.4775510204081632,0.51984339999035,0.9402904000598937,0.5528540969441329,0.4471459030558671
d16-c0-h4-s21864820,8,1,16,4,all_pair_lexicographic,lexicographic,128,245,0.5224489795918368,0.4775510204081632,0.5108097000047565,0.9402904000598937,0.5432467458693818,0.4567532541306182
