instance_id,block_size,tie_repetition,order,hidden_rows,guided_policy,baseline,guided_nodes,baseline_nodes,node_ratio_guided_over_baseline,node_reduction_fraction,guided_seconds,baseline_seconds,time_ratio_guided_over_baseline,time_reduction_fraction
d16-c0-h4-s21864815,2,0,16,4,all_pair_lexicographic,lexicographic,890,545,1.6330275229357798,-0.6330275229357798,0.10178399994038045,0.07371360005345196,1.3808035405484715,-0.38080354054847154
d16-c0-h4-s21864815,2,1,16,4,all_pair_lexicographic,lexicographic,890,545,1.6330275229357798,-0.6330275229357798,0.12937070010229945,0.05443289992399514,2.376700493321874,-1.376700493321874
d16-c0-h4-s21864815,2,2,16,4,all_pair_lexicographic,lexicographic,890,545,1.6330275229357798,-0.6330275229357798,0.10480700002517551,0.05223270005080849,2.006539962958573,-1.006539962958573
d16-c0-h4-s21864815,4,0,16,4,all_pair_lexicographic,lexicographic,304,256,1.1875,-0.1875,0.10505180002655834,0.11421939998399466,0.9197369277134974,0.08026307228650265
d16-c0-h4-s21864815,4,1,16,4,all_pair_lexicographic,lexicographic,304,256,1.1875,-0.1875,0.10280710004735738,0.08069140010047704,1.274077533904999,-0.274077533904999
d16-c0-h4-s21864815,4,2,16,4,all_pair_lexicographic,lexicographic,304,256,1.1875,-0.1875,0.1268043000018224,0.09469109994824976,1.3391364137825312,-0.33913641378253123
d16-c0-h4-s21864815,8,0,16,4,all_pair_lexicographic,lexicographic,8,228,0.03508771929824561,0.9649122807017544,0.09893420001026243,0.795275199925527,0.12440247101824256,0.8755975289817575
d16-c0-h4-s21864815,8,1,16,4,all_pair_lexicographic,lexicographic,8,228,0.03508771929824561,0.9649122807017544,0.09009730000980198,0.7958329999819398,0.1132113144489442,0.8867886855510558
d16-c0-h4-s21864815,8,2,16,4,all_pair_lexicographic,lexicographic,8,228,0.03508771929824561,0.9649122807017544,0.09317030000966042,0.8416333000641316,0.11070177475458842,0.8892982252454116
d16-c0-h6-s21866815,2,0,16,6,all_pair_lexicographic,lexicographic,10552,616,17.12987012987013,-16.12987012987013,1.12689189997036,0.05501599994022399,20.482984971549207,-19.482984971549207
d16-c0-h6-s21866815,2,1,16,6,all_pair_lexicographic,lexicographic,10552,616,17.12987012987013,-16.12987012987013,1.1519774999469519,0.06626220000907779,17.385138129870928,-16.385138129870928
d16-c0-h6-s21866815,2,2,16,6,all_pair_lexicographic,lexicographic,10552,616,17.12987012987013,-16.12987012987013,1.1634676998946816,0.05564589996356517,20.90841734353252,-19.90841734353252
d16-c0-h6-s21866815,4,0,16,6,all_pair_lexicographic,lexicographic,5771,245,23.555102040816326,-22.555102040816326,1.896779999951832,0.07217009994201362,26.282075284305193,-25.282075284305193
d16-c0-h6-s21866815,4,1,16,6,all_pair_lexicographic,lexicographic,5771,245,23.555102040816326,-22.555102040816326,1.8383696000091732,0.0699892999837175,26.266437876030427,-25.266437876030427
d16-c0-h6-s21866815,4,2,16,6,all_pair_lexicographic,lexicographic,5771,245,23.555102040816326,-22.555102040816326,1.7662448999471962,0.06936169997788966,25.464267751658625,-24.464267751658625
d16-c0-h6-s21866815,8,0,16,6,all_pair_lexicographic,lexicographic,4004,210,19.066666666666666,-18.066666666666666,11.296895100036636,0.580285600037314,19.467819120981485,-18.467819120981485
d16-c0-h6-s21866815,8,1,16,6,all_pair_lexicographic,lexicographic,4004,210,19.066666666666666,-18.066666666666666,11.34683870000299,0.577987700002268,19.63162658990575,-18.63162658990575
d16-c0-h6-s21866815,8,2,16,6,all_pair_lexicographic,lexicographic,4004,210,19.066666666666666,-18.066666666666666,11.31133369996678,0.5680090000387281,19.914004354148524,-18.914004354148524
d16-c1-h4-s21864816,2,0,16,4,all_pair_lexicographic,lexicographic,1259,522,2.4118773946360155,-1.4118773946360155,0.14947850001044571,0.05491549998987466,2.721972849887675,-1.721972849887675
d16-c1-h4-s21864816,2,1,16,4,all_pair_lexicographic,lexicographic,1259,522,2.4118773946360155,-1.4118773946360155,0.14738919993396848,0.049953000037930906,2.950557520510303,-1.9505575205103032
d16-c1-h4-s21864816,2,2,16,4,all_pair_lexicographic,lexicographic,1259,522,2.4118773946360155,-1.4118773946360155,0.14904430008027703,0.049277400015853345,3.0245974834777614,-2.0245974834777614
d16-c1-h4-s21864816,4,0,16,4,all_pair_lexicographic,lexicographic,468,231,2.0259740259740258,-1.0259740259740258,0.16849379998166114,0.07529309997335076,2.2378385275848363,-1.2378385275848363
d16-c1-h4-s21864816,4,1,16,4,all_pair_lexicographic,lexicographic,468,231,2.0259740259740258,-1.0259740259740258,0.16958069999236614,0.08012030005920678,2.116575947257443,-1.1165759472574428
d16-c1-h4-s21864816,4,2,16,4,all_pair_lexicographic,lexicographic,468,231,2.0259740259740258,-1.0259740259740258,0.16549669997766614,0.07951569999568164,2.081308470989427,-1.081308470989427
d16-c1-h4-s21864816,8,0,16,4,all_pair_lexicographic,lexicographic,584,205,2.848780487804878,-1.848780487804878,2.1276792000280693,0.765345299965702,2.780025173112605,-1.7800251731126049
