instance_id,order,class_index,presentation_seed,hidden_rows,seed_rows,seed_digest,target_digest,block_size,policy,tie_repetition,tie_seed,max_nodes,max_seconds,solved,termination,elapsed_seconds,nodes,backtracks,dead_ends,candidate_evaluations,exact_prunes,symmetry_prunes,completed_rows,scoring_calls,scoring_seconds,solution_digest,verification_passed
d16-c0-h4-s21864820,16,0,21864820,4,12,279f8f1b875ff64dcb2ec4bf76d07539d96e4fc5c63370957309fb241375a880,8f160a4988c9624f5f0096407201ec2f44e819334693a230c6dc861476930929,8,all_pair_lexicographic,1,60125678,300000,30.0,True,solved,0.5108097000047565,128,120,120,17408,15462,1204,8,16,0.01288249995559454,5b1efb6e21da93242d34e92f1987936e865b38ed1181bfe45b8e0d9fa4bfb4b5,True
d16-c0-h4-s21864820,16,0,21864820,4,12,279f8f1b875ff64dcb2ec4bf76d07539d96e4fc5c63370957309fb241375a880,8f160a4988c9624f5f0096407201ec2f44e819334693a230c6dc861476930929,8,all_pair_product,1,60125678,300000,30.0,True,solved,0.51984339999035,128,120,120,17408,15462,1204,8,16,0.010813400382176042,5b1efb6e21da93242d34e92f1987936e865b38ed1181bfe45b8e0d9fa4bfb4b5,True
d16-c0-h4-s21864820,16,0,21864820,4,12,279f8f1b875ff64dcb2ec4bf76d07539d96e4fc5c63370957309fb241375a880,8f160a4988c9624f5f0096407201ec2f44e819334693a230c6dc861476930929,8,lexicographic,1,60125678,300000,30.0,True,solved,0.9402904000598937,245,237,237,31872,30898,350,4,0,0.0,5b1efb6e21da93242d34e92f1987936e865b38ed1181bfe45b8e0d9fa4bfb4b5,True
d16-c0-h4-s21864820,16,0,21864820,4,12,279f8f1b875ff64dcb2ec4bf76d07539d96e4fc5c63370957309fb241375a880,8f160a4988c9624f5f0096407201ec2f44e819334693a230c6dc861476930929,8,all_pair_lexicographic,2,70125697,300000,30.0,True,solved,0.5160798000870273,128,120,120,17408,15462,1204,8,16,0.015128900180570781,5b1efb6e21da93242d34e92f1987936e865b38ed1181bfe45b8e0d9fa4bfb4b5,True
d16-c0-h4-s21864820,16,0,21864820,4,12,279f8f1b875ff64dcb2ec4bf76d07539d96e4fc5c63370957309fb241375a880,8f160a4988c9624f5f0096407201ec2f44e819334693a230c6dc861476930929,8,all_pair_product,2,70125697,300000,30.0,True,solved,1.300271200016141,305,297,297,40704,37544,2243,13,26,0.01479619974270463,5b1efb6e21da93242d34e92f1987936e865b38ed1181bfe45b8e0d9fa4bfb4b5,True
d16-c0-h4-s21864820,16,0,21864820,4,12,279f8f1b875ff64dcb2ec4bf76d07539d96e4fc5c63370957309fb241375a880,8f160a4988c9624f5f0096407201ec2f44e819334693a230c6dc861476930929,8,lexicographic,2,70125697,300000,30.0,True,solved,0.9964353999821469,245,237,237,31872,30898,350,4,0,0.0,5b1efb6e21da93242d34e92f1987936e865b38ed1181bfe45b8e0d9fa4bfb4b5,True
d16-c0-h4-s21864825,16,0,21864825,4,12,1720dc67711775f03246413ecf8cc27bd997b4b1b6dc2bac0a3bed5433412d9b,0fa38bc2b9b01fdc50969b894800e8dd8c541110ccd84e442dd96e8b36765c3f,8,all_pair_lexicographic,0,50125664,300000,30.0,True,solved,0.13114680000580847,27,19,19,4096,2879,676,5,10,0.008063700166530907,35116649982b56c6482f98a9e79003951ef3aa315524f52990cb368a0d709495,True
d16-c0-h4-s21864825,16,0,21864825,4,12,1720dc67711775f03246413ecf8cc27bd997b4b1b6dc2bac0a3bed5433412d9b,0fa38bc2b9b01fdc50969b894800e8dd8c541110ccd84e442dd96e8b36765c3f,8,all_pair_product,0,50125664,300000,30.0,True,solved,0.5032479999354109,90,82,82,12416,10712,1101,7,14,0.011643100064247847,35116649982b56c6482f98a9e79003951ef3aa315524f52990cb368a0d709495,True
d16-c0-h4-s21864825,16,0,21864825,4,12,1720dc67711775f03246413ecf8cc27bd997b4b1b6dc2bac0a3bed5433412d9b,0fa38bc2b9b01fdc50969b894800e8dd8c541110ccd84e442dd96e8b36765c3f,8,lexicographic,0,50125664,300000,30.0,True,solved,0.714196200016886,231,223,223,30080,29106,451,4,0,0.0,35116649982b56c6482f98a9e79003951ef3aa315524f52990cb368a0d709495,True
d16-c0-h4-s21864825,16,0,21864825,4,12,1720dc67711775f03246413ecf8cc27bd997b4b1b6dc2bac0a3bed5433412d9b,0fa38bc2b9b01fdc50969b894800e8dd8c541110ccd84e442dd96e8b36765c3f,8,all_pair_lexicographic,1,60125683,300000,30.0,True,solved,0.14757229993119836,27,19,19,4096,2879,676,5,10,0.010948000010102987,35116649982b56c6482f98a9e79003951ef3aa315524f52990cb368a0d709495,True
