instance_id,order,class_index,presentation_seed,hidden_rows,seed_rows,seed_digest,target_digest,block_size,policy,tie_repetition,tie_seed,max_nodes,max_seconds,solved,termination,elapsed_seconds,nodes,backtracks,dead_ends,candidate_evaluations,exact_prunes,symmetry_prunes,completed_rows,scoring_calls,scoring_seconds,solution_digest,verification_passed
d12-c0-h10-s21470815,12,0,21470815,10,2,9c4508e7c3922450b34749e854fe1303150468e8ae932153cefb8b26ce54cb93,40489f037e34f0b2c0f75a4f2d28d435caa3e818d431ce57ca36c91d1ade4718,8,all_pair_product,2,69731692,300000,30.0,False,time_budget,30.002509400015697,64101,64093,64093,2125560,1709534,351669,6502,12331,0.5849886952200904,,False
d12-c0-h10-s21470815,12,0,21470815,10,2,9c4508e7c3922450b34749e854fe1303150468e8ae932153cefb8b26ce54cb93,40489f037e34f0b2c0f75a4f2d28d435caa3e818d431ce57ca36c91d1ade4718,8,balance_only,2,69731692,300000,30.0,False,time_budget,30.001559099997394,58163,58155,58155,2045816,1657783,329553,6372,11690,0.19382328691426665,,False
d12-c0-h10-s21470815,12,0,21470815,10,2,9c4508e7c3922450b34749e854fe1303150468e8ae932153cefb8b26ce54cb93,40489f037e34f0b2c0f75a4f2d28d435caa3e818d431ce57ca36c91d1ade4718,8,lexicographic,2,69731692,300000,30.0,True,solved,0.05180299992207438,73,53,53,3064,2394,54,10,0,0.0,f6331ac116fdbce954e7610829d4ab16e20ad6e080c4ccf8d7bd09da9de8aecf,True
d12-c0-h10-s21470815,12,0,21470815,10,2,9c4508e7c3922450b34749e854fe1303150468e8ae932153cefb8b26ce54cb93,40489f037e34f0b2c0f75a4f2d28d435caa3e818d431ce57ca36c91d1ade4718,8,minimum_max_pressure,2,69731692,300000,30.0,False,time_budget,30.003462200053036,63997,63991,63991,2121008,1705632,351130,6487,12328,0.12046699959319085,,False
d12-c0-h10-s21470815,12,0,21470815,10,2,9c4508e7c3922450b34749e854fe1303150468e8ae932153cefb8b26ce54cb93,40489f037e34f0b2c0f75a4f2d28d435caa3e818d431ce57ca36c91d1ade4718,8,random_order,2,69731692,300000,30.0,False,time_budget,30.00011170003563,66750,66746,66746,2164112,1751444,345750,6572,12508,0.10321790317539126,,False
d12-c0-h10-s21470816,12,0,21470816,10,2,5e0b6bdac51c0e7f9e655d033bedab0fa1d5c59445a1f0ea904d82a0c02fa755,0994a5c6f7991636c7db681e1b1bcd427bb965181eaf9cb2835cbdebfe944c6d,8,all_pair_lexicographic,0,49731655,300000,30.0,True,solved,1.321765200002119,1971,1951,1951,80992,70023,8447,263,437,0.027072701486758888,1ad5de518d750b2e68cdd191e278f35af508a1cb273c9cd2df88717b2974b0a4,True
d12-c0-h10-s21470816,12,0,21470816,10,2,5e0b6bdac51c0e7f9e655d033bedab0fa1d5c59445a1f0ea904d82a0c02fa755,0994a5c6f7991636c7db681e1b1bcd427bb965181eaf9cb2835cbdebfe944c6d,8,all_pair_product,0,49731655,300000,30.0,False,time_budget,30.003510000067763,49067,49061,49061,1872112,1583798,238938,5965,10544,0.5032611966598779,,False
d12-c0-h10-s21470816,12,0,21470816,10,2,5e0b6bdac51c0e7f9e655d033bedab0fa1d5c59445a1f0ea904d82a0c02fa755,0994a5c6f7991636c7db681e1b1bcd427bb965181eaf9cb2835cbdebfe944c6d,8,balance_only,0,49731655,300000,30.0,False,time_budget,30.002735599991865,48990,48984,48984,1872240,1584567,238410,5968,10524,0.1738366971258074,,False
d12-c0-h10-s21470816,12,0,21470816,10,2,5e0b6bdac51c0e7f9e655d033bedab0fa1d5c59445a1f0ea904d82a0c02fa755,0994a5c6f7991636c7db681e1b1bcd427bb965181eaf9cb2835cbdebfe944c6d,8,lexicographic,0,49731655,300000,30.0,True,solved,0.04841920000035316,71,51,51,3048,2369,65,10,0,0.0,117f1555896244714d879c61561155075dfe9cb5dff89acc4f9d37aaa2904564,True
d12-c0-h10-s21470816,12,0,21470816,10,2,5e0b6bdac51c0e7f9e655d033bedab0fa1d5c59445a1f0ea904d82a0c02fa755,0994a5c6f7991636c7db681e1b1bcd427bb965181eaf9cb2835cbdebfe944c6d,8,minimum_max_pressure,0,49731655,300000,30.0,False,time_budget,30.00213449995499,49051,49041,49041,1877688,1585802,242582,5988,10588,0.10506700375117362,,False
