order,block_size,presentation,target,stage,model,repetitions,mean_observations,mean_log_loss,mean_gain_over_fair,gain_over_fair_ci95_lower,gain_over_fair_ci95_upper,mean_gain_over_constraint,gain_over_constraint_ci95_lower,gain_over_constraint_ci95_upper,mean_rmse_count,mean_mae_count
24,2,catalog,pressured_pair_agreement_count,all,constraint_state,20,2640.0,0.8455879275585227,0.40785322395399304,0.4007622451586867,0.41517008663828486,0.0,0.0,0.0,0.6849168238282474,0.5081931743025507
24,2,catalog,pressured_pair_agreement_count,all,fair_binomial,20,2640.0,1.2534411515125157,0.0,0.0,0.0,-0.40785322395399304,-0.41532026314586074,-0.4009364939847487,0.8990068802348216,0.8083333333333333
24,2,catalog,pressured_pair_agreement_count,all,serialized_context,20,2640.0,0.9360533118694419,0.3173878396430739,0.3006983085005577,0.3331717638188157,-0.09046538431091906,-0.10365381932588326,-0.07848742693057342,0.8469441247619086,0.7690091148376464
24,2,catalog,pressured_pair_agreement_count,all,state_plus_context,20,2640.0,0.5230444345905519,0.7303967169219636,0.7145247082926931,0.7453654976398827,0.32254349296797075,0.3088000760277112,0.3356341691358917,0.6004589117852029,0.42863304065268615
24,2,catalog,pressured_pair_agreement_count,early,constraint_state,20,528.0,1.2698536713348545,-0.0009873694973262625,-0.008367492089668778,0.0061058298938686095,0.0,0.0,0.0,0.8903523672294783,0.8072369528619525
24,2,catalog,pressured_pair_agreement_count,early,fair_binomial,20,528.0,1.2688663018375284,0.0,0.0,0.0,0.0009873694973262625,-0.006175765649502677,0.008174703360782085,0.9112862206360592,0.8305871212121213
24,2,catalog,pressured_pair_agreement_count,early,serialized_context,20,528.0,0.9003644465198859,0.36850185531764273,0.3500885211542523,0.38874927484651495,0.369489224814969,0.3531052743473794,0.3868494487601019,0.8967744765106123,0.8185936279369574
24,2,catalog,pressured_pair_agreement_count,early,state_plus_context,20,528.0,0.8241215237989428,0.4447447780385855,0.4231987186770173,0.46742648734576175,0.4457321475359118,0.4251621356779118,0.4663790046320912,0.8773023807665992,0.8102461737460647
24,2,catalog,pressured_pair_agreement_count,late,constraint_state,20,1056.0,0.35036569332987094,0.9234563482928857,0.9148161832284033,0.9319998734275123,0.0,0.0,0.0,0.3880674269019045,0.21903409090909096
24,2,catalog,pressured_pair_agreement_count,late,fair_binomial,20,1056.0,1.2738220416227566,0.0,0.0,0.0,-0.9234563482928857,-0.9319562849583257,-0.9147362144257504,0.9152359885448096,0.8377367424242423
24,2,catalog,pressured_pair_agreement_count,late,serialized_context,20,1056.0,0.9591814775909493,0.3146405640318075,0.2988937782745467,0.330111080772364,-0.6088157842610783,-0.6171956009554563,-0.5996748975584382,0.8570202878137613,0.7859545379308872
24,2,catalog,pressured_pair_agreement_count,late,state_plus_context,20,1056.0,0.27561432650881734,0.9982077151139395,0.985581570936129,1.0103191924203854,0.07475136682105357,0.06696555229214295,0.08185291677844826,0.34906316090658457,0.18437599969563778
24,2,catalog,pressured_pair_agreement_count,middle,constraint_state,20,1056.0,1.1286772898990052,0.09667039634084408,0.08373010432378425,0.10972073002585289,0.0,0.0,0.0,0.7908993178661414,0.6478303684163051
24,2,catalog,pressured_pair_agreement_count,middle,fair_binomial,20,1056.0,1.2253476862398494,0.0,0.0,0.0,-0.09667039634084408,-0.10973319155132641,-0.08363598293711284,0.8760828258929495,0.7678030303030303
24,2,catalog,pressured_pair_agreement_count,middle,serialized_context,20,1056.0,0.9307695788227118,0.29457810741713775,0.27028263775518574,0.3173972495784084,0.19790771107629362,0.17177812906654574,0.22143895066226757,0.8102711134771499,0.7272714351947481
24,2,catalog,pressured_pair_agreement_count,middle,state_plus_context,20,1056.0,0.6199359980680899,0.6054116881717595,0.5837251258074093,0.6260458075279485,0.5087412918309153,0.48326265248590977,0.5331136057873328,0.6279486208622165,0.48208351506304475
24,2,catalog,row_plus_count,all,constraint_state,20,2760.0,0.842719043160012,0.1819333107111905,0.18193239052173155,0.18193429436199082,0.0,0.0,0.0,0.6073906448449244,0.3910851880607319
24,2,catalog,row_plus_count,all,fair_binomial,20,2760.0,1.0246523538712027,0.0,0.0,0.0,-0.1819333107111905,-0.1819343260926619,-0.18193239052173177,0.6915640748081244,0.4782608695652173
24,2,catalog,row_plus_count,all,serialized_context,20,2760.0,0.8045945379783568,0.22005781589284576,0.20493324022784914,0.2350045933256014,0.03812450518165524,0.023527956332786305,0.05344433748568265,0.6674598221068715,0.49318608459202873
24,2,catalog,row_plus_count,all,state_plus_context,20,2760.0,0.5156661143352862,0.5089862395359165,0.4962936569275499,0.5217047882154435,0.327052928824726,0.3146601536022215,0.33970562144978933,0.5306729758688781,0.3500084930741235
24,2,catalog,row_plus_count,early,constraint_state,20,552.0,1.0121387785376423,0.01251357533358044,0.012444393231097547,0.012577905644467747,0.0,0.0,0.0,0.6831300510639732,0.4719565217391306
24,2,catalog,row_plus_count,early,fair_binomial,20,552.0,1.0246523538712224,0.0,0.0,0.0,-0.01251357533358044,-0.012577845973934921,-0.012446303585980915,0.6915640748081244,0.4782608695652173
24,2,catalog,row_plus_count,early,serialized_context,20,552.0,0.6792707686961303,0.34538158517509254,0.33121312260538155,0.36035064232599845,0.33286800984151205,0.31891154000696287,0.3479541047653311,0.6608473449353759,0.4837671387368023
24,2,catalog,row_plus_count,early,state_plus_context,20,552.0,0.5806502349290661,0.44400211894215663,0.4255764988420584,0.46199297262931854,0.43148854360857625,0.4139811214835523,0.4494575048814459,0.6390284661548573,0.46628130899036907
24,2,catalog,row_plus_count,late,constraint_state,20,1104.0,0.6169506830683015,0.407701670802903,0.4073835682530276,0.4080434039499513,0.0,0.0,0.0,0.5000000000000002,0.2823218599033817
24,2,catalog,row_plus_count,late,fair_binomial,20,1104.0,1.0246523538712045,0.0,0.0,0.0,-0.407701670802903,-0.4080354512082304,-0.40738635153465574,0.6915640748081244,0.4782608695652173
24,2,catalog,row_plus_count,late,serialized_context,20,1104.0,0.8154120591872326,0.20924029468397182,0.1917009340385129,0.2271905560310035,-0.1984613761189312,-0.21623173037098645,-0.1804964689004183,0.6627600460723162,0.4916916608208064
24,2,catalog,row_plus_count,late,state_plus_context,20,1104.0,0.38493906436802605,0.6397132895031784,0.6256640099440635,0.6531337626975099,0.23201161870027542,0.21807271142111706,0.245429463873062,0.41501624269616305,0.25068010021778087
24,2,catalog,row_plus_count,middle,constraint_state,20,1104.0,0.9837775355628878,0.04087481830831645,0.040578750482275355,0.041151779534477406,0.0,0.0,0.0,0.6625520019436235,0.4594128493788808
24,2,catalog,row_plus_count,middle,fair_binomial,20,1104.0,1.0246523538712045,0.0,0.0,0.0,-0.04087481830831645,-0.04115631600435392,-0.04056505531082674,0.6915640748081244,0.4782608695652173
24,2,catalog,row_plus_count,middle,serialized_context,20,1104.0,0.8564389014106022,0.16821345246060218,0.15220001824439677,0.18495571320632267,0.12733863415228575,0.11134887774503474,0.1442669693799383,0.6753765446741372,0.4993899812908653
24,2,catalog,row_plus_count,middle,state_plus_context,20,1104.0,0.6139011040056569,0.4107512498655474,0.396457665521163,0.4243082467966521,0.36987643155723093,0.3559326679279911,0.38385026818986573,0.571976255474092,0.3912004779723444
24,2,permute_both_fixed_anchor,pressured_pair_agreement_count,all,constraint_state,20,2640.0,0.7176784101019462,0.4062833731934889,0.40347830795770434,0.4091006819749626,0.0,0.0,0.0,0.5523413212498519,0.4300979737854739
24,2,permute_both_fixed_anchor,pressured_pair_agreement_count,all,fair_binomial,20,2640.0,1.1239617832954352,0.0,0.0,0.0,-0.4062833731934889,-0.40905651290662287,-0.40340164799705397,0.7883588945635142,0.621534090909091
24,2,permute_both_fixed_anchor,pressured_pair_agreement_count,all,serialized_context,20,2640.0,1.022841923702572,0.10111985959286325,0.09755664711452927,0.10463947303326393,-0.30516351360062555,-0.30703689373381066,-0.3033359785367659,0.7376264183275412,0.6470876594695322
24,2,permute_both_fixed_anchor,pressured_pair_agreement_count,all,state_plus_context,20,2640.0,0.7356430913743542,0.3883186919210809,0.3849901590143704,0.39163210466695303,-0.017964681272407978,-0.019550530950462202,-0.016287153514703112,0.5584727622023112,0.43171278960297743
24,2,permute_both_fixed_anchor,pressured_pair_agreement_count,early,constraint_state,20,528.0,0.9885443459699518,0.04434997536445213,0.039798683476052726,0.04920736592597979,0.0,0.0,0.0,0.6694239006884006,0.5446285774410773
24,2,permute_both_fixed_anchor,pressured_pair_agreement_count,early,fair_binomial,20,528.0,1.0328943213344037,0.0,0.0,0.0,-0.04434997536445213,-0.04923912360833303,-0.039749060969257184,0.6999827402507541,0.4901515151515151
24,2,permute_both_fixed_anchor,pressured_pair_agreement_count,early,serialized_context,20,528.0,1.0249584348031984,0.007935886531205388,-0.00032834464910288234,0.016450613474490196,-0.03641408883324674,-0.04088265898194781,-0.031966324874177304,0.6842235895880349,0.5884589055482492
24,2,permute_both_fixed_anchor,pressured_pair_agreement_count,early,state_plus_context,20,528.0,0.997425378475499,0.03546894285890502,0.029660578670560052,0.04159781405859893,-0.008881032505547105,-0.011743538286621318,-0.006220628021610823,0.6721543411887215,0.5471480844136327
24,2,permute_both_fixed_anchor,pressured_pair_agreement_count,late,constraint_state,20,1056.0,0.3887189971706548,0.8384665793206796,0.8342019997214709,0.8431424677381875,0.0,0.0,0.0,0.38144042314110393,0.2547782512626265
24,2,permute_both_fixed_anchor,pressured_pair_agreement_count,late,fair_binomial,20,1056.0,1.2271855764913344,0.0,0.0,0.0,-0.8384665793206796,-0.8431741758014973,-0.8341986854265966,0.8777364186170228,0.7704545454545454
24,2,permute_both_fixed_anchor,pressured_pair_agreement_count,late,serialized_context,20,1056.0,1.0520584730760034,0.17512710341533091,0.17065475007913367,0.1799962894671849,-0.6633394759053488,-0.6679501879118765,-0.658749335524878,0.8237189144175814,0.7466256576713064
24,2,permute_both_fixed_anchor,pressured_pair_agreement_count,late,state_plus_context,20,1056.0,0.39909598462709317,0.8280895918642412,0.8228288592323356,0.8340408019741054,-0.010376987456438386,-0.012521386838996796,-0.0083249946589371,0.3866776423438939,0.25525954312932886
24,2,permute_both_fixed_anchor,pressured_pair_agreement_count,middle,constraint_state,20,1056.0,0.9112048550992349,0.1550668659808651,0.14900481551679684,0.16090686879138227,0.0,0.0,0.0,0.6268535229972716,0.5481523944805192
24,2,permute_both_fixed_anchor,pressured_pair_agreement_count,middle,fair_binomial,20,1056.0,1.0662717210800998,0.0,0.0,0.0,-0.1550668659808651,-0.16084063825088327,-0.14888151422454896,0.7336219329224528,0.5383049242424244
24,2,permute_both_fixed_anchor,pressured_pair_agreement_count,middle,serialized_context,20,1056.0,0.9925671187788314,0.07370460230126827,0.06880993697904453,0.0783746126373926,-0.08136226367959683,-0.08568345334273177,-0.07711279218084878,0.6688812939885543,0.576864038228399
24,2,permute_both_fixed_anchor,pressured_pair_agreement_count,middle,state_plus_context,20,1056.0,0.941299054571043,0.12497266650905672,0.11782368290914894,0.13174170853418393,-0.030094199471808393,-0.03318255499263481,-0.026850506471702847,0.6356759145187016,0.5504483886712978
24,2,permute_both_fixed_anchor,row_plus_count,all,constraint_state,20,2760.0,0.8427330046552448,0.18191934921595482,0.18191868287186425,0.18191998382937477,0.0,0.0,0.0,0.6073906448449247,0.44101328502415427
24,2,permute_both_fixed_anchor,row_plus_count,all,fair_binomial,20,2760.0,1.0246523538712,0.0,0.0,0.0,-0.18191934921595482,-0.1819199838293749,-0.18191871460253467,0.6915640748081244,0.4782608695652173
24,2,permute_both_fixed_anchor,row_plus_count,all,serialized_context,20,2760.0,1.0141408911388505,0.010511462732349108,0.009734809932972434,0.011182488178339499,-0.17140788648360572,-0.1721592954756231,-0.17075581646008497,0.6842579446610674,0.5129239407206301
24,2,permute_both_fixed_anchor,row_plus_count,all,state_plus_context,20,2760.0,0.8613991254316666,0.16325322843953333,0.1622585323655165,0.1643773983894424,-0.018666120776421536,-0.01964860451409953,-0.017529831369580286,0.6128819441758634,0.45358078794859813
24,2,permute_both_fixed_anchor,row_plus_count,early,constraint_state,20,552.0,1.0114064161365828,0.013245937734640268,0.01322129530531875,0.01326961127235281,0.0,0.0,0.0,0.6831300510639732,0.5068900966183574
24,2,permute_both_fixed_anchor,row_plus_count,early,fair_binomial,20,552.0,1.0246523538712227,0.0,0.0,0.0,-0.013245937734640268,-0.013269467673519462,-0.013221194410882495,0.6915640748081244,0.4782608695652173
24,2,permute_both_fixed_anchor,row_plus_count,early,serialized_context,20,552.0,1.01508171246263,0.009570641408593072,0.008254851655450939,0.010946746555941566,-0.003675296326047195,-0.004993942598045095,-0.0023174179629834404,0.6852273695989846,0.5158829772539335
24,2,permute_both_fixed_anchor,row_plus_count,early,state_plus_context,20,552.0,1.0240864033936306,0.0005659504775923363,-0.002566016107728623,0.003869663118853117,-0.012679987257047932,-0.01591252351992997,-0.009350527823127824,0.6865100579181057,0.517953855508685
24,2,permute_both_fixed_anchor,row_plus_count,late,constraint_state,20,1104.0,0.6206023985714728,0.404049955299732,0.40391630302907944,0.40419108507038054,0.0,0.0,0.0,0.5000000000000003,0.33730374396135254
24,2,permute_both_fixed_anchor,row_plus_count,late,fair_binomial,20,1104.0,1.0246523538712045,0.0,0.0,0.0,-0.404049955299732,-0.40418988959501984,-0.40391909185819264,0.6915640748081244,0.4782608695652173
24,2,permute_both_fixed_anchor,row_plus_count,late,serialized_context,20,1104.0,1.0132696667649028,0.011382687106301725,0.010416049817127654,0.012257807600180217,-0.39266726819343023,-0.3936256513281342,-0.39178004741359074,0.6837896456662425,0.5121033049057948
24,2,permute_both_fixed_anchor,row_plus_count,late,state_plus_context,20,1104.0,0.6375201901723121,0.3871321636988926,0.3850124622208695,0.3893990991132969,-0.016917791600839404,-0.019041201227847793,-0.014638022976519251,0.5059470187938244,0.3493277106119763
