repetition,seed,order,variant,traversal,region,train_matrices,test_matrices,gain_over_fair,context_length,alpha,reset_at_row_boundary,exclude_first_row,exclude_first_column,train_observations,test_observations,contexts_seen,test_unseen_context_rate,train_log_loss,test_log_loss,test_fair_log_loss,test_marginal_log_loss,train_accuracy,test_accuracy,train_mle_log_loss,train_epsilon_max,train_epsilon_avg,test_epsilon_max,test_epsilon_avg,fair_log_loss_constant
0,20260814,24,catalog,rows,all,48,12,0.0,1,0.5,True,False,False,26496,6624,2,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.5,0.5,0.6931471805599453,0.0,0.0,0.0,0.0,0.6931471805599453
0,20260814,24,catalog,rows,all,48,12,0.002214023638063667,2,0.5,True,False,False,25344,6336,4,0.0,0.6914004086691707,0.6909331569218815,0.6931471805599452,0.6931471805599452,0.5295138888888888,0.5334595959595959,0.6914004086250914,0.030919312169312207,0.029513888888888885,0.03505291005291006,0.03345959595959595,0.6931471805599453
0,20260814,24,catalog,rows,all,48,12,0.03150260160215135,3,0.5,True,False,False,24192,6048,8,0.0,0.6555590225043234,0.661644578957794,0.6931471805599454,0.6931471805599454,0.6307870370370371,0.6203703703703703,0.6555590180983873,0.17910447761194026,0.13078703703703703,0.1635262449528937,0.12037037037037036,0.6931471805599453
0,20260814,24,catalog,rows,all,48,12,0.04538789069951965,4,0.5,True,False,False,23040,5760,16,0.0,0.6424813878131066,0.6477592898604256,0.6931471805599453,0.6931471805599453,0.6275173611111111,0.6220486111111111,0.642481347206416,0.2673684210526316,0.12751736111111112,0.2552182163187856,0.12274305555555555,0.6931471805599453
0,20260814,24,catalog,rows,all,48,12,0.09242591213566365,5,0.5,True,False,False,21888,5472,32,0.0,0.6050189699568701,0.6007212684242818,0.6931471805599454,0.6931471805599454,0.6725603070175439,0.6728801169590644,0.6050186048842737,0.383587786259542,0.17256030701754385,0.3984375,0.17507309941520469,0.6931471805599453
0,20260814,24,catalog,rows,all,48,12,0.09590732945348446,6,0.5,True,False,False,20736,5184,64,0.0,0.6001389253411249,0.5972398511064608,0.6931471805599453,0.6931471805599453,0.6668113425925926,0.6703317901234568,0.6001284356179976,0.47435897435897434,0.1668113425925926,0.5,0.17496141975308643,0.6931471805599453
0,20260814,24,catalog,rows,all,48,12,0.15096350983249096,7,0.5,True,False,False,19584,4896,128,0.0,0.5340665035321893,0.5421836707274543,0.6931471805599453,0.6931471805599453,0.7235498366013072,0.7212009803921569,0.5339124699963661,0.5,0.2235498366013072,0.5,0.23223039215686275,0.6931471805599453
0,20260814,24,catalog,rows,all,48,12,0.16612358210945177,8,0.5,True,False,False,18432,4608,250,0.00021701388888888888,0.5114035170760594,0.5270235984504935,0.6931471805599453,0.6931471805599453,0.7372504340277778,0.734375,0.510672393471591,0.5,0.2372504340277778,0.5,0.2521701388888889,0.6931471805599453
0,20260814,24,catalog,rows,all,48,12,0.20766822043484223,9,0.5,True,False,False,17280,4320,474,0.002777777777777778,0.46614877378188896,0.48547896012510305,0.6931471805599453,0.6931471805599453,0.7712962962962963,0.7597222222222222,0.4632090070993671,0.5,0.2712962962962963,0.5,0.293287037037037,0.6931471805599453
0,20260814,24,catalog,rows,all,48,12,0.22599526399362313,10,0.5,True,False,False,16128,4032,825,0.011408730158730158,0.4325319051286002,0.46715191656632227,0.6931471805599454,0.6931471805599454,0.7882564484126984,0.7748015873015873,0.4240558061288377,0.5,0.28825644841269843,0.5,0.31746031746031744,0.6931471805599453
0,20260814,24,catalog,rows,all,48,12,0.2681626603222611,11,0.5,True,False,False,14976,3744,1312,0.026709401709401708,0.3600825145492348,0.42498452023768407,0.6931471805599452,0.6931471805599452,0.8322649572649573,0.7986111111111112,0.3402769712092952,0.5,0.33226495726495725,0.5,0.3581730769230769,0.6931471805599453
