order,context_length,statistic,effect,left_variant,left_traversal,left_region,right_variant,right_traversal,right_region,repetitions,mean,standard_deviation,ci95_lower,ci95_upper
24,3,mean_gain,gain_over_fair,catalog,rows,interior,fair_coin,rows,interior,20,0.027809867175701934,0.009597908507155925,0.023671632903755093,0.03176460387521334
24,3,mean_gain,gain_over_fair,permute_both_fixed_anchor,columns,all,fair_coin,columns,all,20,0.004036280880416171,0.0009378616911388537,0.0036388383633013457,0.004428207779400898
24,3,mean_gain,gain_over_fair,permute_both_fixed_anchor,rows,all,fair_coin,rows,all,20,0.0038654909244226487,0.0008887031462050267,0.0034755357037334,0.00423498571818803
24,3,mean_gain,gain_over_fair,permute_both_renormalized,columns,all,fair_coin,columns,all,20,0.004107104837738346,0.0011285616474389388,0.003623783932014932,0.0045859947896429035
24,3,mean_gain,gain_over_fair,permute_both_renormalized,rows,all,fair_coin,rows,all,20,0.0043738346729240265,0.0009462814917403646,0.003963986426163459,0.004772452452053893
24,3,mean_gain,gain_over_fair,permute_columns_fixed_anchor,columns,all,fair_coin,columns,all,20,0.020357538900880396,0.014636636891240276,0.013591891303126097,0.026112553313228756
24,3,mean_gain,gain_over_fair,permute_columns_fixed_anchor,rows,all,fair_coin,rows,all,20,0.0038654909244226323,0.0008887031462050679,0.003477347669723195,0.004247605913416273
24,3,mean_gain,gain_over_fair,permute_rows_fixed_anchor,columns,all,fair_coin,columns,all,20,0.00403628088041621,0.0009378616911388267,0.0036328016374175143,0.004432244500710052
24,3,mean_gain,gain_over_fair,permute_rows_fixed_anchor,rows,all,fair_coin,rows,all,20,0.04007349483170362,0.012082408431139606,0.03488373082248396,0.045135665033836994
24,4,mean_gain,gain_over_fair,catalog,columns,all,fair_coin,columns,all,20,0.04554784371165468,0.012761500911371099,0.03977503853978547,0.050696682578781696
24,4,mean_gain,gain_over_fair,catalog,columns,exclude_first_column,fair_coin,columns,exclude_first_column,20,0.03213219147111584,0.013233293586442714,0.026280313239980993,0.03740036214801277
24,4,mean_gain,gain_over_fair,catalog,columns,exclude_first_row,fair_coin,columns,exclude_first_row,20,0.0448968752362381,0.012622938651308481,0.03931851260068377,0.05001042190502951
24,4,mean_gain,gain_over_fair,catalog,columns,interior,fair_coin,columns,interior,20,0.03136773168393065,0.01319748428000834,0.02532473308743301,0.036641932504869336
24,4,mean_gain,gain_over_fair,catalog,rows,all,fair_coin,rows,all,20,0.05111083099420162,0.008080302660317895,0.04756920940776747,0.0543733477378651
24,4,mean_gain,gain_over_fair,catalog,rows,exclude_first_column,fair_coin,rows,exclude_first_column,20,0.052823269446693466,0.008484333932734267,0.04901393946771818,0.056237076547377564
24,4,mean_gain,gain_over_fair,catalog,rows,exclude_first_row,fair_coin,rows,exclude_first_row,20,0.04070223747774569,0.008918661833352822,0.036678923400786996,0.044360440731442345
24,4,mean_gain,gain_over_fair,catalog,rows,interior,fair_coin,rows,interior,20,0.04183894573636517,0.009377054947168709,0.03753278368871425,0.04563087765765887
