repetition,seed,order,presentation,block_size,context_length,train_matrices,test_matrices,target,stage,model,observations,log_loss,gain_over_fair,gain_over_constraint,rmse_count,mae_count
0,20260814,24,catalog,2,4,48,12,row_plus_count,all,fair_binomial,2760,1.0246523538712013,0.0,-0.18193226359904713,0.6915640748081247,0.4782608695652174
0,20260814,24,catalog,2,4,48,12,row_plus_count,all,serialized_context,2760,0.8110300533626505,0.2136223005085508,0.03169003690950367,0.6672135854233382,0.49548935921496273
0,20260814,24,catalog,2,4,48,12,row_plus_count,all,constraint_state,2760,0.8427200902721542,0.18193226359904713,0.0,0.6073906448449241,0.391705774097079
0,20260814,24,catalog,2,4,48,12,row_plus_count,all,state_plus_context,2760,0.5070726675774453,0.5175796862937561,0.33564742269470893,0.5239666917012972,0.3467715860111487
0,20260814,24,catalog,2,4,48,12,row_plus_count,early,fair_binomial,552,1.0246523538712227,0.0,-0.012524971610517799,0.6915640748081247,0.4782608695652174
0,20260814,24,catalog,2,4,48,12,row_plus_count,early,serialized_context,552,0.6898463446456691,0.3348060092255536,0.3222810376150358,0.658710753203327,0.484508266730089
0,20260814,24,catalog,2,4,48,12,row_plus_count,early,constraint_state,552,1.0121273822607049,0.012524971610517799,0.0,0.6831300510639733,0.47359098228663477
0,20260814,24,catalog,2,4,48,12,row_plus_count,early,state_plus_context,552,0.5906197240367258,0.43403262983449686,0.42150765822397906,0.6365915547776695,0.4650520078336161
0,20260814,24,catalog,2,4,48,12,row_plus_count,middle,fair_binomial,1104,1.0246523538712045,0.0,-0.04100869854724365,0.6915640748081247,0.4782608695652174
0,20260814,24,catalog,2,4,48,12,row_plus_count,middle,serialized_context,1104,0.8711805836349202,0.15347177023628422,0.11246307168904057,0.6745636286470932,0.5002192627368859
0,20260814,24,catalog,2,4,48,12,row_plus_count,middle,constraint_state,1104,0.9836436553239608,0.04100869854724365,0.0,0.6625520019436236,0.4598602484472036
0,20260814,24,catalog,2,4,48,12,row_plus_count,middle,state_plus_context,1104,0.5941443248605215,0.43050802901068297,0.3894993304634393,0.5612560065382108,0.38586778397339744
0,20260814,24,catalog,2,4,48,12,row_plus_count,late,fair_binomial,1104,1.0246523538712045,0.0,-0.4075594746451493,0.6915640748081247,0.4782608695652174
0,20260814,24,catalog,2,4,48,12,row_plus_count,late,serialized_context,1104,0.8114713774488788,0.2131809764223257,-0.1943784982228236,0.6640398362653208,0.49625000193547114
0,20260814,24,catalog,2,4,48,12,row_plus_count,late,constraint_state,1104,0.6170928792260552,0.4075594746451493,0.0,0.5000000000000003,0.28260869565217395
