order,context_length,statistic,variant,comparator,repetitions,mean,standard_deviation,ci95_lower,ci95_upper
16,1,gain_over_fair,balanced_rows,fair_coin,20,-0.000697514987407244,0.001166368511065372,-0.0012126347093083531,-0.00020900767059837087
16,1,gain_over_fair,hadamard,fair_coin,20,0.0,0.0,0.0,0.0
16,1,gain_over_fair,iid_normalized,fair_coin,20,5.975965109127346e-05,0.005453760434291862,-0.002135280501442249,0.002457377891599437
16,1,gain_over_fair,permuted_hadamard,fair_coin,20,0.0,0.0,0.0,0.0
16,2,gain_over_fair,balanced_rows,fair_coin,20,0.0019033679575274243,0.003690210600901039,0.0003115616080816632,0.003466574147110004
16,2,gain_over_fair,hadamard,fair_coin,20,0.002020682292183462,0.001031830324261108,0.0015178303937179339,0.0023978212160326085
16,2,gain_over_fair,iid_normalized,fair_coin,20,0.0031344014359029173,0.008218433189310117,-0.00047939784913736074,0.006460331303279899
16,2,gain_over_fair,permuted_hadamard,fair_coin,20,0.001967133408055316,0.004201206102291381,0.0002527954991056032,0.0038385162183296635
16,3,gain_over_fair,balanced_rows,fair_coin,20,0.007723460637655638,0.008625281955077432,0.004088000428219991,0.011510763653378912
16,3,gain_over_fair,hadamard,fair_coin,20,0.15550691703416825,0.009504389123911798,0.1512139235863152,0.159211832292175
16,3,gain_over_fair,iid_normalized,fair_coin,20,0.007894161431476504,0.009345558751259602,0.003958583258513912,0.011834625207505963
16,3,gain_over_fair,permuted_hadamard,fair_coin,20,0.0073589787005144906,0.010995313258754547,0.0026164810371987327,0.01211073364637377
16,4,gain_over_fair,balanced_rows,fair_coin,20,0.017239988032779985,0.017072700161567617,0.009506189753348002,0.024210105679582466
16,4,gain_over_fair,hadamard,fair_coin,20,0.20019810542654923,0.026531996447094232,0.18749233243102958,0.21012921968714884
16,4,gain_over_fair,iid_normalized,fair_coin,20,0.005330678957116008,0.012210427399651445,0.00014165003735367522,0.010666019951170488
16,4,gain_over_fair,permuted_hadamard,fair_coin,20,0.014175162134650154,0.012741248304444428,0.008905549091027429,0.019633123871140377
16,5,gain_over_fair,balanced_rows,fair_coin,20,0.017438000110439396,0.02275125024188948,0.008001087843461012,0.027262743491228144
16,5,gain_over_fair,hadamard,fair_coin,20,0.37619434482923986,0.04907083202156902,0.35462536691966046,0.3963699554317877
16,5,gain_over_fair,iid_normalized,fair_coin,20,-8.781854817507261e-05,0.016863927753629472,-0.007581981549856882,0.007182972801058999
16,5,gain_over_fair,permuted_hadamard,fair_coin,20,0.022427916160715506,0.022336442035358756,0.01312288981605837,0.032001916286985455
16,6,gain_over_fair,balanced_rows,fair_coin,20,0.008325886321167519,0.039418266966606545,-0.009198784938259326,0.02495439369493496
16,6,gain_over_fair,hadamard,fair_coin,20,0.3498863211891651,0.05120075644204951,0.32880240419919093,0.37097766450072306
16,6,gain_over_fair,iid_normalized,fair_coin,20,-0.030035803470802525,0.03180679360931063,-0.043497658520546226,-0.016928934837050335
16,6,gain_over_fair,permuted_hadamard,fair_coin,20,0.010466373314146538,0.027834958670085144,-0.0015514655064952736,0.02238728549350357
16,7,gain_over_fair,balanced_rows,fair_coin,20,-0.008164348723148728,0.045641076920438096,-0.028493185484906886,0.01018392752253429
16,7,gain_over_fair,hadamard,fair_coin,20,0.35540547249735766,0.05102901850020784,0.33190390403540077,0.375891444946001
16,7,gain_over_fair,iid_normalized,fair_coin,20,-0.07150308052622636,0.05742094003636278,-0.09706041176355454,-0.04791337611853528
16,7,gain_over_fair,permuted_hadamard,fair_coin,20,-0.029036156964659464,0.03908483697320763,-0.045694239794896,-0.011817537252050262
16,8,gain_over_fair,balanced_rows,fair_coin,20,-0.04087951010932377,0.04416868783193503,-0.060247568126133196,-0.023006154141081418
16,8,gain_over_fair,hadamard,fair_coin,20,0.3308628815057161,0.05333675897167435,0.30689431886717217,0.35248309079930634
16,8,gain_over_fair,iid_normalized,fair_coin,20,-0.087299972490929,0.041108313133115755,-0.10502472773242177,-0.06967261554261556
16,8,gain_over_fair,permuted_hadamard,fair_coin,20,-0.02538694871619986,0.050093341167049395,-0.047112064300173576,-0.004852039678128112
16,9,gain_over_fair,balanced_rows,fair_coin,20,-0.012857997966361168,0.041593077631215405,-0.030892228087723496,0.004543186760186738
16,9,gain_over_fair,hadamard,fair_coin,20,0.4572123718272045,0.08693162320025191,0.4186277329802818,0.4910075685501642
16,9,gain_over_fair,iid_normalized,fair_coin,20,-0.05080294692527141,0.03341733446074315,-0.06577959215200886,-0.03717385575451001
16,9,gain_over_fair,permuted_hadamard,fair_coin,20,-0.005514539097282662,0.04006398573734027,-0.022586181830631123,0.011383256068098705
16,10,gain_over_fair,balanced_rows,fair_coin,20,0.01583053597958086,0.023268350232925686,0.0058142107664340475,0.0256769922195622
16,10,gain_over_fair,hadamard,fair_coin,20,0.4469370411150777,0.05661635025890973,0.4216370853972637,0.4700751890973796
16,10,gain_over_fair,iid_normalized,fair_coin,20,0.0026551748168151925,0.025041131404534574,-0.007739402380307115,0.013605713082894728
16,10,gain_over_fair,permuted_hadamard,fair_coin,20,0.007982507946617395,0.038318387033405246,-0.007818839736744862,0.02456992641199194
16,11,gain_over_fair,balanced_rows,fair_coin,20,0.033957562903581,0.020548048526690173,0.025242169201723414,0.04289363047211445
16,11,gain_over_fair,hadamard,fair_coin,20,0.4820489635894473,0.048875907584099675,0.46036069252144285,0.5023213969705651
16,11,gain_over_fair,iid_normalized,fair_coin,20,0.031408478288936406,0.02024857636985039,0.022635932496974782,0.039717636994960094
16,11,gain_over_fair,permuted_hadamard,fair_coin,20,0.03321340642326688,0.031920500523972696,0.018993465776366847,0.04631864429031838
16,12,gain_over_fair,balanced_rows,fair_coin,20,0.0354637292857824,0.01691083212047019,0.02830275053281797,0.04252300698966835
16,12,gain_over_fair,hadamard,fair_coin,20,0.44737973798552505,0.04860183730707051,0.4267401991766473,0.4680192767944028
16,12,gain_over_fair,iid_normalized,fair_coin,20,0.040997429958526246,0.019865418705141705,0.03282330906562269,0.04994841045017205
16,12,gain_over_fair,permuted_hadamard,fair_coin,20,0.04439164103688016,0.02319324744316503,0.03514310587095123,0.05466982580475157
20,1,gain_over_fair,balanced_rows,fair_coin,20,-0.0006946634671601226,0.001797471115628313,-0.0015407753636373781,-4.856270681502376e-05
20,1,gain_over_fair,hadamard,fair_coin,20,0.0,0.0,0.0,0.0
20,1,gain_over_fair,iid_normalized,fair_coin,20,0.0006738158794001581,0.004478891485152006,-0.0013581198688385194,0.0024085268873844825
20,1,gain_over_fair,permuted_hadamard,fair_coin,20,0.0,0.0,0.0,0.0
20,2,gain_over_fair,balanced_rows,fair_coin,20,-0.00017394640702791953,0.0055606656946071125,-0.0026323726160749038,0.0020708658726657724
20,2,gain_over_fair,hadamard,fair_coin,20,0.003783229590169873,0.0009108250937772174,0.0034263356418823,0.004140123538457446
20,2,gain_over_fair,iid_normalized,fair_coin,20,0.0012425142999796025,0.0053011693144890785,-0.0010654879631976325,0.0034842128989880762
20,2,gain_over_fair,permuted_hadamard,fair_coin,20,0.002078723043614428,0.003537992621218557,0.0006468004956496979,0.0036524489886003327
20,3,gain_over_fair,balanced_rows,fair_coin,20,0.0010607103500906655,0.006033824940713062,-0.001508144873928265,0.003591548937886687
20,3,gain_over_fair,hadamard,fair_coin,20,0.04355399543203449,0.010409006755071323,0.0393479218462355,0.04798035553837332
20,3,gain_over_fair,iid_normalized,fair_coin,20,0.0025885288001235964,0.008936756173013097,-0.0012294923913280778,0.006404054572237664
20,3,gain_over_fair,permuted_hadamard,fair_coin,20,0.0017014468604949705,0.005972239642007611,-0.000980774734133953,0.004140243380871298
20,4,gain_over_fair,balanced_rows,fair_coin,20,0.004094850832642877,0.009822252742159173,-6.711739269941361e-05,0.008272786883315826
20,4,gain_over_fair,hadamard,fair_coin,20,0.03768046801827739,0.012706045729577174,0.0322341135043294,0.04288950547828624
20,4,gain_over_fair,iid_normalized,fair_coin,20,-0.0016186122283204651,0.00947675545482853,-0.0055373245329876745,0.0024292771080455205
20,4,gain_over_fair,permuted_hadamard,fair_coin,20,0.0038555937442718903,0.006236344675671079,0.0012449857964247928,0.006550263109260611
20,5,gain_over_fair,balanced_rows,fair_coin,20,0.008419652038010279,0.018387577133488417,0.00043481023948829014,0.016306466712966133
20,5,gain_over_fair,hadamard,fair_coin,20,0.06315367651495432,0.03317071715274251,0.04930061451169922,0.07700673851820945
20,5,gain_over_fair,iid_normalized,fair_coin,20,-0.011012079797203988,0.01520816041334916,-0.01773528601978676,-0.0048402322218671105
20,5,gain_over_fair,permuted_hadamard,fair_coin,20,-0.00114429071218205,0.020956680349210246,-0.010335360116694566,0.007542953844268766
20,6,gain_over_fair,balanced_rows,fair_coin,20,-0.009518436027410477,0.024703184682639993,-0.019744868044089054,0.0010682754569284725
20,6,gain_over_fair,hadamard,fair_coin,20,0.08021719820329484,0.04214087111149353,0.06306337396578757,0.09737102244080212
20,6,gain_over_fair,iid_normalized,fair_coin,20,-0.03277178807464199,0.028114516435968982,-0.04524343144031592,-0.021375815752331186
20,6,gain_over_fair,permuted_hadamard,fair_coin,20,-0.017869416444085785,0.0308674548923413,-0.030713422625061635,-0.004508222820598657
20,7,gain_over_fair,balanced_rows,fair_coin,20,-0.048494632071601165,0.03762198054391569,-0.06394831534895097,-0.032343945538879
20,7,gain_over_fair,hadamard,fair_coin,20,0.13358976128234873,0.04462561918650076,0.11518290428093556,0.1519966182837619
20,7,gain_over_fair,iid_normalized,fair_coin,20,-0.0776418918383335,0.02244769005367054,-0.0870880459679516,-0.06802775133514856
20,7,gain_over_fair,permuted_hadamard,fair_coin,20,-0.05540898917798913,0.04616482577692328,-0.07515822599634743,-0.0352284897860012
20,8,gain_over_fair,balanced_rows,fair_coin,20,-0.05467288724761823,0.031081736052748058,-0.06787293730953929,-0.04185544927549769
20,8,gain_over_fair,hadamard,fair_coin,20,0.17903766444692817,0.05788113955767041,0.15403477307788171,0.20350295751033504
20,8,gain_over_fair,iid_normalized,fair_coin,20,-0.08208718197734613,0.02395462609342879,-0.09257873026499747,-0.07177879661305754
20,8,gain_over_fair,permuted_hadamard,fair_coin,20,-0.0526300889646536,0.033618841623349334,-0.06770804754483657,-0.038358447130019666
20,9,gain_over_fair,balanced_rows,fair_coin,20,-0.03354451359544202,0.022514096886086434,-0.04343304076268611,-0.024263679672012334
20,9,gain_over_fair,hadamard,fair_coin,20,0.19691116811061357,0.05699654420695689,0.1726514270787851,0.22117090914244203
20,9,gain_over_fair,iid_normalized,fair_coin,20,-0.04840954049934888,0.03049822137983836,-0.06102949231527351,-0.03545350209934711
20,9,gain_over_fair,permuted_hadamard,fair_coin,20,-0.022360532717193737,0.030732184363634105,-0.03538328601331715,-0.009204423982476952
20,10,gain_over_fair,balanced_rows,fair_coin,20,-0.015807836496105027,0.01825658751340817,-0.023396125988486588,-0.007972469560615193
20,10,gain_over_fair,hadamard,fair_coin,20,0.212081282666093,0.06479972848211359,0.1839540772972666,0.23992974964956507
20,10,gain_over_fair,iid_normalized,fair_coin,20,-0.013026629186716515,0.021213583519984737,-0.02215844084060238,-0.003677154496889453
20,10,gain_over_fair,permuted_hadamard,fair_coin,20,-0.0010062061035510106,0.027981480286961194,-0.012282867338316308,0.010775710303712736
20,11,gain_over_fair,balanced_rows,fair_coin,20,0.012066902400838209,0.011809670419037757,0.007057403046196721,0.017080274351885416
20,11,gain_over_fair,hadamard,fair_coin,20,0.2392128761554902,0.06852886840244958,0.21105534554804253,0.26737040676293783
20,11,gain_over_fair,iid_normalized,fair_coin,20,0.010899144121562104,0.016655809946602117,0.003927492282325445,0.018185963123606586
20,11,gain_over_fair,permuted_hadamard,fair_coin,20,0.015919600926248688,0.016441474436857603,0.008858358588255772,0.022976180543485443
20,12,gain_over_fair,balanced_rows,fair_coin,20,0.02065264003795956,0.009662869246693505,0.016459122371233235,0.024621334104905742
20,12,gain_over_fair,hadamard,fair_coin,20,0.2409060749992869,0.06113501425668514,0.21644066495237518,0.2653714850461985
20,12,gain_over_fair,iid_normalized,fair_coin,20,0.019574413596420082,0.009885888505497546,0.01535420167396809,0.023815823172155755
20,12,gain_over_fair,permuted_hadamard,fair_coin,20,0.023832687628415623,0.00801271477597128,0.02055451709589736,0.027356889077354136
24,1,gain_over_fair,balanced_rows,fair_coin,20,-3.054582219551016e-05,5.345015278236178e-05,-5.3740218631043584e-05,-8.526692146284142e-06
24,1,gain_over_fair,hadamard,fair_coin,20,0.0,0.0,0.0,0.0
24,1,gain_over_fair,iid_normalized,fair_coin,20,0.0015702417512544365,0.0006336050472364586,0.0012944496774375703,0.0018375052541192696
24,1,gain_over_fair,permuted_hadamard,fair_coin,20,0.0,0.0,0.0,0.0
24,2,gain_over_fair,balanced_rows,fair_coin,20,0.0011448596038230341,0.0004989495886928237,0.0009190861851058731,0.0013482345868131977
