repetition,seed,order,variant,configuration,train_matrices,test_matrices,gain_over_fair,context_length,alpha,reset_at_row_boundary,exclude_first_row,exclude_first_column,train_observations,test_observations,contexts_seen,test_unseen_context_rate,train_log_loss,test_log_loss,test_fair_log_loss,test_marginal_log_loss,train_accuracy,test_accuracy,train_mle_log_loss,train_epsilon_max,train_epsilon_avg,test_epsilon_max,test_epsilon_avg,fair_log_loss_constant
0,20260814,16,hadamard,reset_at_row_boundary,4,1,0.0,1,0.5,True,False,False,960,240,2,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.5,0.5,0.6931471805599453,0.0,0.0,0.0,0.0,0.6931471805599453
0,20260814,16,hadamard,reset_at_row_boundary,4,1,0.0025235341906489905,2,0.5,True,False,False,896,224,4,0.0,0.6911827663259335,0.6906236463692963,0.6931471805599453,0.6931471805599453,0.53125,0.5357142857142857,0.6911827263944625,0.033653846153846145,0.03125,0.038461538461538436,0.0357142857142857,0.6931471805599453
0,20260814,16,hadamard,reset_at_row_boundary,4,1,0.1588295701377873,3,0.5,True,False,False,832,208,8,0.0,0.5379355746198067,0.534317610422158,0.6931471805599453,0.6931471805599453,0.7644230769230769,0.7692307692307693,0.537914967101151,0.3476190476190476,0.2644230769230769,0.34615384615384615,0.2692307692307692,0.6931471805599453
0,20260814,16,hadamard,reset_at_row_boundary,4,1,0.21210030939414926,4,0.5,True,False,False,768,192,16,0.0,0.4907241777438203,0.48104687116579603,0.6931471805599453,0.6931471805599453,0.7447916666666666,0.75,0.4877790327014271,0.5,0.24479166666666666,0.5,0.25,0.6931471805599453
0,20260814,16,hadamard,reset_at_row_boundary,4,1,0.32268356426255973,5,0.5,True,False,False,704,176,28,0.0,0.28867718260655634,0.37046361629738556,0.6931471805599453,0.6931471805599453,0.8892045454545454,0.8409090909090909,0.28099042475677044,0.5,0.38920454545454547,0.5,0.3522727272727273,0.6931471805599453
0,20260814,16,hadamard,reset_at_row_boundary,4,1,0.28831892493295547,6,0.5,True,False,False,640,160,44,0.0,0.30837674896250294,0.4048282556269898,0.6931471805599453,0.6931471805599453,0.8796875,0.825,0.2910847727573304,0.5,0.3796875,0.5,0.3375,0.6931471805599453
0,20260814,16,hadamard,reset_at_row_boundary,4,1,0.34837455866970624,7,0.5,True,False,False,576,144,62,0.0,0.30350978645778315,0.34477262189023905,0.6931471805599453,0.6931471805599453,0.8732638888888888,0.8541666666666666,0.2760457929011962,0.5,0.3732638888888889,0.5,0.3888888888888889,0.6931471805599453
0,20260814,16,hadamard,reset_at_row_boundary,4,1,0.32154570701003676,8,0.5,True,False,False,512,128,85,0.015625,0.31746716672933706,0.3716014735499085,0.6931471805599453,0.6931471805599453,0.869140625,0.8515625,0.26907321514922083,0.5,0.369140625,0.5,0.390625,0.6931471805599453
0,20260814,16,hadamard,reset_at_row_boundary,4,1,0.46086817287508686,9,0.5,True,False,False,448,112,101,0.05357142857142857,0.1766302904935865,0.2322790076848584,0.6931471805599453,0.6931471805599453,0.9553571428571429,0.8928571428571429,0.10214872998447953,0.5,0.45535714285714285,0.5,0.4732142857142857,0.6931471805599453
0,20260814,16,hadamard,reset_at_row_boundary,4,1,0.4207277706848222,10,0.5,True,False,False,384,96,106,0.10416666666666667,0.17416263484111436,0.2724194098751231,0.6931471805599453,0.6931471805599453,0.9609375,0.8854166666666666,0.0800935864157248,0.5,0.4609375,0.5,0.46875,0.6931471805599453
0,20260814,16,hadamard,reset_at_row_boundary,4,1,0.47476784699061353,11,0.5,True,False,False,320,80,102,0.15,0.15061367484234592,0.21837933356933176,0.6931471805599453,0.6931471805599453,0.98125,0.95,0.03762664887715487,0.5,0.48125,0.5,0.475,0.6931471805599453
0,20260814,16,hadamard,reset_at_row_boundary,4,1,0.4416839032156298,12,0.5,True,False,False,256,64,93,0.1875,0.1735935142143369,0.2514632773443155,0.6931471805599453,0.6931471805599453,0.9765625,0.890625,0.047033311096443584,0.5,0.4765625,0.5,0.46875,0.6931471805599453
0,20260814,16,permuted_hadamard,reset_at_row_boundary,4,1,0.0,1,0.5,True,False,False,960,240,2,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.5,0.5,0.6931471805599453,0.0,0.0,0.0,0.0,0.6931471805599453
0,20260814,16,permuted_hadamard,reset_at_row_boundary,4,1,0.008585049984604076,2,0.5,True,False,False,896,224,4,0.0,0.6921452567814528,0.6845621305753412,0.6931471805599453,0.6931471805599453,0.5223214285714286,0.6071428571428571,0.6921452364488607,0.024038461538461564,0.022321428571428586,0.11538461538461542,0.10714285714285714,0.6931471805599453
0,20260814,16,permuted_hadamard,reset_at_row_boundary,4,1,0.0070617191780252275,3,0.5,True,False,False,832,208,8,0.0,0.6812474967224955,0.6860854613819201,0.6931471805599453,0.6931471805599453,0.5637019230769231,0.5432692307692307,0.6812463738542,0.13478260869565217,0.06370192307692307,0.2391304347826087,0.11538461538461539,0.6931471805599453
0,20260814,16,permuted_hadamard,reset_at_row_boundary,4,1,0.01177675437915715,4,0.5,True,False,False,768,192,16,0.0,0.6572799833222679,0.6813704261807881,0.6931471805599453,0.6931471805599453,0.5989583333333334,0.5260416666666666,0.6572638236049375,0.303030303030303,0.09895833333333333,0.5,0.15625,0.6931471805599453
0,20260814,16,permuted_hadamard,reset_at_row_boundary,4,1,0.02304469100295936,5,0.5,True,False,False,704,176,32,0.0,0.6301609645081278,0.6701024895569859,0.6931471805599453,0.6931471805599453,0.6292613636363636,0.5738636363636364,0.6300133470527179,0.4387755102040817,0.12926136363636365,0.5,0.16477272727272727,0.6931471805599453
0,20260814,16,permuted_hadamard,reset_at_row_boundary,4,1,0.04583932125765611,6,0.5,True,False,False,640,160,64,0.0,0.6055572498739193,0.6473078593022892,0.6931471805599453,0.6931471805599453,0.6609375,0.5625,0.6040380592551859,0.5,0.1609375,0.5,0.25,0.6931471805599453
0,20260814,16,permuted_hadamard,reset_at_row_boundary,4,1,-0.03433066604238777,7,0.5,True,False,False,576,144,126,0.0,0.5307420586132844,0.7274778466023331,0.6931471805599453,0.6931471805599453,0.7170138888888888,0.5902777777777778,0.5061999973526693,0.5,0.2170138888888889,0.5,0.3472222222222222,0.6931471805599453
0,20260814,16,permuted_hadamard,reset_at_row_boundary,4,1,-0.022759727966556342,8,0.5,True,False,False,512,128,206,0.1484375,0.45638756706004235,0.7159069085265016,0.6931471805599453,0.6931471805599453,0.775390625,0.609375,0.3863198298913269,0.5,0.275390625,0.5,0.421875,0.6931471805599453
0,20260814,16,permuted_hadamard,reset_at_row_boundary,4,1,0.06278600843996063,9,0.5,True,False,False,448,112,276,0.4017857142857143,0.3783818143606402,0.6303611721199847,0.6931471805599453,0.6931471805599453,0.8549107142857143,0.5982142857142857,0.23235603278247138,0.5,0.3549107142857143,0.5,0.4642857142857143,0.6931471805599453
0,20260814,16,permuted_hadamard,reset_at_row_boundary,4,1,0.054328095791858155,10,0.5,True,False,False,384,96,298,0.5416666666666666,0.32424919089194776,0.6388190847680871,0.6931471805599453,0.6931471805599453,0.9192708333333334,0.59375,0.1182497808420979,0.5,0.4192708333333333,0.5,0.46875,0.6931471805599453
