order,variant,configuration,train_matrices,test_matrices,context_length,alpha,reset_at_row_boundary,exclude_first_row,exclude_first_column,train_observations,test_observations,contexts_seen,test_unseen_context_rate,train_log_loss,test_log_loss,test_fair_log_loss,test_marginal_log_loss,train_accuracy,test_accuracy,train_mle_log_loss,train_epsilon_max,train_epsilon_avg,test_epsilon_max,test_epsilon_avg,fair_log_loss_constant
16,hadamard,full_row_major,4,1,1,0.5,False,False,False,1020,255,2,0.0,0.6914143684087791,0.6914177796608951,0.6931471805599454,0.6914160792825393,0.5294117647058824,0.5294117647058824,0.6914143616710734,0.03039832285115307,0.02941176470588236,0.02941176470588236,0.02941176470588236,0.6931471805599453
16,hadamard,full_row_major,4,1,2,0.5,False,False,False,1016,254,4,0.0,0.6897096879603354,0.6891251324157858,0.6931471805599454,0.6916274089354789,0.530511811023622,0.5354330708661418,0.6897096304767124,0.0669642857142857,0.03051181102362205,0.0714285714285714,0.035433070866141746,0.6931471805599453
16,hadamard,full_row_major,4,1,3,0.5,False,False,False,1012,253,8,0.0,0.5775809603185014,0.572390569490456,0.6931471805599454,0.6918264734666366,0.733201581027668,0.7391304347826086,0.5775725018986327,0.2721518987341772,0.233201581027668,0.275,0.2391304347826087,0.6931471805599453
16,hadamard,full_row_major,4,1,4,0.5,False,False,False,1008,252,16,0.0,0.4983677270307005,0.4862289036923521,0.6931471805599454,0.6920129659480525,0.7321428571428571,0.7380952380952381,0.49617142756680516,0.5,0.23214285714285715,0.5,0.23809523809523808,0.6931471805599453
16,hadamard,full_row_major,4,1,5,0.5,False,False,False,1004,251,28,0.0,0.36137583195016115,0.3880178937996764,0.6931471805599454,0.6921865716652729,0.852589641434263,0.8207171314741036,0.3569219127555818,0.5,0.35258964143426297,0.5,0.33266932270916333,0.6931471805599453
16,hadamard,full_row_major,4,1,6,0.5,False,False,False,1000,250,46,0.0,0.355950897555683,0.3863334549153785,0.6931471805599454,0.6923469678896418,0.854,0.82,0.34523075476326176,0.5,0.354,0.5,0.332,0.6931471805599453
16,hadamard,full_row_major,4,1,7,0.5,False,False,False,996,249,68,0.0,0.3326649940080825,0.36382836690013237,0.6931471805599454,0.6924938236427938,0.857429718875502,0.8232931726907631,0.3162169030905282,0.5,0.357429718875502,0.5,0.3514056224899598,0.6931471805599453
16,hadamard,full_row_major,4,1,8,0.5,False,False,False,992,248,98,0.004032258064516129,0.3026972980650203,0.36214181963533737,0.6931471805599453,0.6926267994530364,0.876008064516129,0.8387096774193549,0.2722393791623392,0.5,0.37600806451612906,0.5,0.36693548387096775,0.6931471805599453
16,hadamard,reset_at_row_boundary,4,1,1,0.5,True,False,False,960,240,2,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.5,0.5,0.6931471805599453,0.0,0.0,0.0,0.0,0.6931471805599453
16,hadamard,reset_at_row_boundary,4,1,2,0.5,True,False,False,896,224,4,0.0,0.6911827663259335,0.6906236463692963,0.6931471805599453,0.6931471805599453,0.53125,0.5357142857142857,0.6911827263944625,0.033653846153846145,0.03125,0.038461538461538436,0.0357142857142857,0.6931471805599453
16,hadamard,reset_at_row_boundary,4,1,3,0.5,True,False,False,832,208,8,0.0,0.5379355746198067,0.534317610422158,0.6931471805599453,0.6931471805599453,0.7644230769230769,0.7692307692307693,0.537914967101151,0.3476190476190476,0.2644230769230769,0.34615384615384615,0.2692307692307692,0.6931471805599453
16,hadamard,reset_at_row_boundary,4,1,4,0.5,True,False,False,768,192,16,0.0,0.4907241777438203,0.48104687116579603,0.6931471805599453,0.6931471805599453,0.7447916666666666,0.75,0.4877790327014271,0.5,0.24479166666666666,0.5,0.25,0.6931471805599453
16,hadamard,reset_at_row_boundary,4,1,5,0.5,True,False,False,704,176,28,0.0,0.28867718260655634,0.37046361629738556,0.6931471805599453,0.6931471805599453,0.8892045454545454,0.8409090909090909,0.28099042475677044,0.5,0.38920454545454547,0.5,0.3522727272727273,0.6931471805599453
16,hadamard,reset_at_row_boundary,4,1,6,0.5,True,False,False,640,160,44,0.0,0.30837674896250294,0.4048282556269898,0.6931471805599453,0.6931471805599453,0.8796875,0.825,0.2910847727573304,0.5,0.3796875,0.5,0.3375,0.6931471805599453
16,hadamard,reset_at_row_boundary,4,1,7,0.5,True,False,False,576,144,62,0.0,0.30350978645778315,0.34477262189023905,0.6931471805599453,0.6931471805599453,0.8732638888888888,0.8541666666666666,0.2760457929011962,0.5,0.3732638888888889,0.5,0.3888888888888889,0.6931471805599453
16,hadamard,reset_at_row_boundary,4,1,8,0.5,True,False,False,512,128,85,0.015625,0.31746716672933706,0.3716014735499085,0.6931471805599453,0.6931471805599453,0.869140625,0.8515625,0.26907321514922083,0.5,0.369140625,0.5,0.390625,0.6931471805599453
16,permuted_hadamard,full_row_major,4,1,1,0.5,False,False,False,1020,255,2,0.0,0.6914160842951903,0.6914161412891425,0.6931471805599454,0.6914160792825395,0.5294117647058824,0.5294117647058824,0.6914160776171183,0.02941176470588236,0.02941176470588236,0.033333333333333326,0.02941176470588234,0.6931471805599453
16,permuted_hadamard,full_row_major,4,1,2,0.5,False,False,False,1016,254,4,0.0,0.6911097802123736,0.686569545824579,0.6931471805599454,0.6916274089354789,0.5275590551181102,0.5275590551181102,0.6911097451360767,0.05203619909502266,0.027559055118110246,0.1428571428571429,0.08661417322834647,0.6931471805599453
16,permuted_hadamard,full_row_major,4,1,3,0.5,False,False,False,1012,253,8,0.0,0.6812231156462677,0.6897857458453742,0.6931471805599454,0.6918264734666366,0.5632411067193676,0.5533596837944664,0.6812223789247331,0.1298701298701299,0.06324110671936758,0.19444444444444442,0.10474308300395258,0.6931471805599453
16,permuted_hadamard,full_row_major,4,1,4,0.5,False,False,False,1008,252,16,0.0,0.669881544848734,0.6882525554489909,0.6931471805599454,0.6920129659480525,0.5783730158730159,0.5714285714285714,0.6698759956428613,0.22164948453608246,0.07837301587301587,0.3888888888888889,0.1388888888888889,0.6931471805599453
16,permuted_hadamard,full_row_major,4,1,5,0.5,False,False,False,1004,251,32,0.0,0.6506771923505119,0.6958076697285807,0.6931471805599454,0.6921865716652729,0.6095617529880478,0.545816733067729,0.6506335900978759,0.3142857142857143,0.10956175298804781,0.5,0.15338645418326693,0.6931471805599453
16,permuted_hadamard,full_row_major,4,1,6,0.5,False,False,False,1000,250,64,0.0,0.626353294209164,0.703581288825034,0.6931471805599454,0.6923469678896418,0.639,0.508,0.625554190583855,0.5,0.139,0.5,0.204,0.6931471805599453
16,permuted_hadamard,full_row_major,4,1,7,0.5,False,False,False,996,249,127,0.0,0.5944265683237128,0.723309475014543,0.6931471805599454,0.6924938236427938,0.6666666666666666,0.5662650602409639,0.5882251175607415,0.5,0.16666666666666666,0.5,0.26305220883534136,0.6931471805599453
16,permuted_hadamard,full_row_major,4,1,8,0.5,False,False,False,992,248,241,0.024193548387096774,0.5334967880859446,0.748103906732238,0.6931471805599453,0.6926267994530365,0.7217741935483871,0.5806451612903226,0.5051870768787573,0.5,0.2217741935483871,0.5,0.3387096774193548,0.6931471805599453
16,permuted_hadamard,reset_at_row_boundary,4,1,1,0.5,True,False,False,960,240,2,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.5,0.5,0.6931471805599453,0.0,0.0,0.0,0.0,0.6931471805599453
