order,variant,configuration,train_matrices,test_matrices,context_length,alpha,reset_at_row_boundary,exclude_first_row,exclude_first_column,train_observations,test_observations,contexts_seen,test_unseen_context_rate,train_log_loss,test_log_loss,test_fair_log_loss,test_marginal_log_loss,train_accuracy,test_accuracy,train_mle_log_loss,train_epsilon_max,train_epsilon_avg,test_epsilon_max,test_epsilon_avg,fair_log_loss_constant
24,hadamard,full_row_major,48,12,1,0.5,False,False,False,27600,6900,2,0.0,0.6923449253932882,0.6923445030626454,0.6931471805599453,0.6923469670910134,0.52,0.52,0.6923449253890278,0.021052233728928837,0.020000000000000007,0.021160822249093103,0.019999999999999997,0.6931471805599453
24,hadamard,full_row_major,48,12,2,0.5,False,False,False,27552,6888,4,0.0,0.6908952020149409,0.6902550724067241,0.6931471805599453,0.6924125009955459,0.5273301393728222,0.5331010452961672,0.6908952019654387,0.05118483412322272,0.02733013937282232,0.057874762808349134,0.033101045296167246,0.6931471805599453
24,hadamard,full_row_major,48,12,3,0.5,False,False,False,27504,6876,8,0.0,0.6613836136025081,0.6614048061255043,0.6931471805599452,0.6924754476714136,0.6206369982547993,0.620564281559046,0.6613836109308845,0.169223156853043,0.1206369982547993,0.16666666666666663,0.12056428155904596,0.6931471805599453
24,hadamard,full_row_major,48,12,4,0.5,False,False,False,27456,6864,16,0.0,0.6467385333842055,0.6489795007724115,0.6931471805599453,0.692535779111632,0.624198717948718,0.6226689976689976,0.6467385095328286,0.24593195266272194,0.12419871794871795,0.2382352941176471,0.12325174825174826,0.6931471805599453
24,hadamard,full_row_major,48,12,5,0.5,False,False,False,27408,6852,32,0.0,0.6136813160481672,0.6234793505242008,0.6931471805599453,0.6925934669979386,0.6607559836544075,0.6498832457676591,0.6136811065176496,0.38383838383838387,0.16075598365440746,0.3581081081081081,0.15484530064214827,0.6931471805599453
24,hadamard,full_row_major,48,12,6,0.5,False,False,False,27360,6840,64,0.0,0.6014469454976467,0.6116732516761656,0.6931471805599454,0.6926484826967964,0.6635233918128655,0.6609649122807018,0.6014437789549024,0.4491525423728814,0.1635233918128655,0.5,0.16257309941520467,0.6931471805599453
24,hadamard,full_row_major,48,12,7,0.5,False,False,False,27312,6828,128,0.0,0.5571348353704777,0.572261946337578,0.6931471805599454,0.6927007972553407,0.7080038078500293,0.69302870533099,0.5570578203055057,0.5,0.20800380785002928,0.5,0.20152314001171645,0.6931471805599453
24,hadamard,full_row_major,48,12,8,0.5,False,False,False,27264,6816,252,0.0,0.5347942380193631,0.5562574371939373,0.6931471805599453,0.6927503813972636,0.7244718309859155,0.7055457746478874,0.5344381539406922,0.5,0.2244718309859155,0.5,0.21757629107981222,0.6931471805599453
24,hadamard,reset_at_row_boundary,48,12,1,0.5,True,False,False,26496,6624,2,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.5,0.5,0.6931471805599453,0.0,0.0,0.0,0.0,0.6931471805599453
24,hadamard,reset_at_row_boundary,48,12,2,0.5,True,False,False,25344,6336,4,0.0,0.6914743792783724,0.6906513575619665,0.6931471805599452,0.6931471805599452,0.5288825757575758,0.5359848484848485,0.691474379236165,0.03025793650793651,0.028882575757575753,0.037698412698412676,0.03598484848484849,0.6931471805599453
24,hadamard,reset_at_row_boundary,48,12,3,0.5,True,False,False,24192,6048,8,0.0,0.65668708200472,0.6570825598495736,0.6931471805599454,0.6931471805599454,0.628968253968254,0.6276455026455027,0.6566870777471464,0.17623318385650222,0.12896825396825398,0.1761517615176152,0.12764550264550265,0.6931471805599453
24,hadamard,reset_at_row_boundary,48,12,4,0.5,True,False,False,23040,5760,16,0.0,0.6426010505297118,0.6472244865863567,0.6931471805599453,0.6931471805599453,0.6276041666666666,0.6217013888888889,0.6426010111288267,0.2566433566433567,0.12760416666666666,0.2586206896551724,0.12430555555555556,0.6931471805599453
24,hadamard,reset_at_row_boundary,48,12,5,0.5,True,False,False,21888,5472,32,0.0,0.6015104068340185,0.6145975789719604,0.6931471805599454,0.6931471805599454,0.6750274122807017,0.6630116959064327,0.6015100007050732,0.3914728682170543,0.17502741228070176,0.36876640419947504,0.16429093567251463,0.6931471805599453
24,hadamard,reset_at_row_boundary,48,12,6,0.5,True,False,False,20736,5184,64,0.0,0.596735546867326,0.6111550857782065,0.6931471805599453,0.6931471805599453,0.6706693672839507,0.6576003086419753,0.5967250635825637,0.4714285714285714,0.17066936728395063,0.5,0.16010802469135801,0.6931471805599453
24,hadamard,reset_at_row_boundary,48,12,7,0.5,True,False,False,19584,4896,128,0.0,0.5309985292046745,0.554095871077515,0.6931471805599453,0.6931471805599453,0.7269199346405228,0.7036356209150327,0.5308671032663803,0.5,0.22691993464052287,0.5,0.22120098039215685,0.6931471805599453
24,hadamard,reset_at_row_boundary,48,12,8,0.5,True,False,False,18432,4608,251,0.0,0.5068546897934734,0.5449019265269528,0.6931471805599453,0.6931471805599453,0.7426215277777778,0.7165798611111112,0.5061461777279079,0.5,0.2426215277777778,0.5,0.2322048611111111,0.6931471805599453
24,permuted_hadamard,full_row_major,48,12,1,0.5,False,False,False,27600,6900,2,0.0,0.6923451972757638,0.6923440176478214,0.6931471805599453,0.6923469670910134,0.52,0.52,0.6923451972715069,0.020979814016783838,0.02000000000000002,0.021305530371713455,0.019999999999999987,0.6931471805599453
24,permuted_hadamard,full_row_major,48,12,2,0.5,False,False,False,27552,6888,4,0.0,0.6915569819499234,0.6909192772677073,0.6931471805599453,0.6924125009955459,0.5203977932636469,0.528164924506388,0.6915569819147095,0.04463580344446205,0.020397793263646945,0.05246523388116309,0.028164924506387922,0.6931471805599453
24,permuted_hadamard,full_row_major,48,12,3,0.5,False,False,False,27504,6876,8,0.0,0.6887965722835258,0.6893060099680758,0.6931471805599452,0.6924754476714136,0.5381399069226295,0.537085514834206,0.6887965719174349,0.08941560070228238,0.038139906922629425,0.08234126984126988,0.03708551483420595,0.6931471805599453
24,permuted_hadamard,full_row_major,48,12,4,0.5,False,False,False,27456,6864,16,0.0,0.6848639099808546,0.6851555755509413,0.6931471805599453,0.692535779111632,0.5452724358974359,0.5432692307692307,0.6848639075745705,0.171063829787234,0.045272435897435896,0.16609880749574102,0.05244755244755245,0.6931471805599453
24,permuted_hadamard,full_row_major,48,12,5,0.5,False,False,False,27408,6852,32,0.0,0.6791796526955048,0.6832599593332922,0.6931471805599453,0.6925934669979386,0.5572095738470519,0.5488908347927612,0.6791796385566548,0.2748890298034242,0.05720957384705197,0.24168797953964194,0.05589608873321658,0.6931471805599453
24,permuted_hadamard,full_row_major,48,12,6,0.5,False,False,False,27360,6840,64,0.0,0.6747057241750378,0.6754436781563867,0.6931471805599454,0.6926484826967964,0.5597587719298246,0.5583333333333333,0.6747056574799292,0.35597381342062195,0.05975877192982456,0.36896551724137927,0.0706140350877193,0.6931471805599453
24,permuted_hadamard,full_row_major,48,12,7,0.5,False,False,False,27312,6828,128,0.0,0.6706365034578916,0.6733096811546295,0.6931471805599454,0.6927007972553406,0.565429115407147,0.5578500292911541,0.6706361645220034,0.40630975143403447,0.06542911540714705,0.4126984126984127,0.08216168717047452,0.6931471805599453
24,permuted_hadamard,full_row_major,48,12,8,0.5,False,False,False,27264,6816,256,0.0,0.6672961700678416,0.6747128971999489,0.6931471805599453,0.6927503813972636,0.5745305164319249,0.5579518779342723,0.6672940520414478,0.41983122362869196,0.07453051643192488,0.4347826086956522,0.10064553990610328,0.6931471805599453
24,permuted_hadamard,reset_at_row_boundary,48,12,1,0.5,True,False,False,26496,6624,2,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.5,0.5,0.6931471805599453,0.0,0.0,0.0,0.0,0.6931471805599453
24,permuted_hadamard,reset_at_row_boundary,48,12,2,0.5,True,False,False,25344,6336,4,0.0,0.6921401988190515,0.6914309290565749,0.6931471805599452,0.6931471805599452,0.5224116161616161,0.5303030303030303,0.6921401987936724,0.023478835978835988,0.022411616161616157,0.031746031746031744,0.03030303030303031,0.6931471805599453
24,permuted_hadamard,reset_at_row_boundary,48,12,3,0.5,True,False,False,24192,6048,8,0.0,0.6887074548887497,0.6887067222742744,0.6931471805599454,0.6931471805599454,0.5364169973544973,0.5363756613756614,0.6887074544035561,0.08700273307014883,0.03641699735449736,0.0861244019138756,0.04034391534391535,0.6931471805599453
24,permuted_hadamard,reset_at_row_boundary,48,12,4,0.5,True,False,False,23040,5760,16,0.0,0.682150100128669,0.6816542222324312,0.6931471805599453,0.6931471805599453,0.55546875,0.5590277777777778,0.6821500953023477,0.20251091703056767,0.05546875,0.2008547008547008,0.061284722222222206,0.6931471805599453
